Word=Confidence Pos=NN StartS=t I
Word=the Pos=DT PPos=VBD StartS=f I
Word=data Pos=NNS PPos=DT StartS=f I
Word=show Pos=VBP PPos=NNS StartS=f O
Word=the Pos=DT PPos=VBP StartS=f I
Word=economy Pos=NN PPos=DT StartS=f I
Word=`` Pos=`` PPos=NN StartS=f O
Word=is Pos=VBZ PPos=`` StartS=f O
Word=still Pos=RB PPos=VBZ StartS=f O
Word=quite Pos=RB PPos=RB StartS=f O
Word=strong Pos=JJ PPos=RB StartS=f O
Word=, Pos=, PPos=JJ StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=but Pos=CC PPos='' StartS=f O
Word=suggestions Pos=NNS PPos=CC StartS=f I
Word=that Pos=IN PPos=NNS StartS=f O
Word=much Pos=NN PPos=IN StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=spending Pos=NN PPos=DT StartS=f I
Word=went Pos=VBD PPos=NN StartS=f O
Word=on Pos=IN PPos=VBD StartS=f O
Word=services Pos=NNS PPos=IN StartS=f I
Word=rather Pos=RB PPos=NNS StartS=f O
Word=than Pos=IN PPos=RB StartS=f O
Word=consumer Pos=NN PPos=IN StartS=f I
Word=goods Pos=NNS PPos=NN StartS=f I
Word=should Pos=MD PPos=NNS StartS=f O
Word=reduce Pos=VB PPos=MD StartS=f O
Word=fears Pos=NNS PPos=VB StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=more Pos=JJR PPos=IN StartS=f I
Word=import Pos=NN PPos=JJR StartS=f I
Word=rises Pos=NNS PPos=NN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Certainly Pos=RB StartS=t O
Word=, Pos=, PPos=RB StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=chancellor Pos=NN PPos=DT StartS=f I
Word=has Pos=VBZ PPos=NN StartS=f O
Word=made Pos=VBN PPos=VBZ StartS=f O
Word=it Pos=PRP PPos=VBN StartS=f I
Word=clear Pos=JJ PPos=PRP StartS=f O
Word=that Pos=IN PPos=JJ StartS=f O
Word=he Pos=PRP PPos=IN StartS=f I
Word=is Pos=VBZ PPos=PRP StartS=f O
Word=prepared Pos=VBN PPos=VBZ StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=increase Pos=VB PPos=TO StartS=f O
Word=interest Pos=NN PPos=VB StartS=f I
Word=rates Pos=NNS PPos=NN StartS=f I
Word=again Pos=RB PPos=NNS StartS=f O
Word=if Pos=IN PPos=RB StartS=f O
Word=necessary Pos=JJ PPos=IN StartS=f O
Word=to Pos=TO PPos=JJ StartS=f O
Word=both Pos=DT PPos=TO StartS=f O
Word=ensure Pos=VB PPos=DT StartS=f O
Word=that Pos=IN PPos=VB StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=substantial Pos=JJ PPos=DT StartS=f I
Word=slowdown Pos=NN PPos=JJ StartS=f I
Word=does Pos=VBZ PPos=NN StartS=f O
Word=take Pos=VB PPos=VBZ StartS=f O
Word=place Pos=NN PPos=VB StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=that Pos=DT PPos=CC StartS=f O
Word=sterling Pos=NN PPos=DT StartS=f I
Word=does Pos=VBZ PPos=NN StartS=f O
Word=n't Pos=RB PPos=VBZ StartS=f O
Word=decline Pos=VB PPos=RB StartS=f O
Word=further Pos=JJ PPos=VB StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=Thursday Pos=NNP StartS=t I
Word=, Pos=, PPos=NNP StartS=f O
Word=he Pos=PRP PPos=, StartS=f I
Word=reminded Pos=VBD PPos=PRP StartS=f O
Word=his Pos=PRP$ PPos=VBD StartS=f I
Word=audience Pos=NN PPos=PRP$ StartS=f I
Word=that Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=government Pos=NN PPos=DT StartS=f I
Word=`` Pos=`` PPos=NN StartS=f O
Word=can Pos=MD PPos=`` StartS=f O
Word=not Pos=RB PPos=MD StartS=f O
Word=allow Pos=VB PPos=RB StartS=f O
Word=the Pos=DT PPos=VB StartS=f I
Word=necessary Pos=JJ PPos=DT StartS=f I
Word=rigor Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=monetary Pos=JJ PPos=IN StartS=f I
Word=policy Pos=NN PPos=JJ StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=be Pos=VB PPos=TO StartS=f O
Word=undermined Pos=VBN PPos=VB StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=exchange Pos=NN PPos=IN StartS=f I
Word=rate Pos=NN PPos=NN StartS=f I
Word=weakness Pos=NN PPos=NN StartS=f I
Word=. Pos=. PPos=NN StartS=f O
Word='' Pos='' PPos=. StartS=f O

Word=Analysts Pos=NNS StartS=t I
Word=agree Pos=VBP PPos=NNS StartS=f O
Word=there Pos=EX PPos=VBP StartS=f I
Word=is Pos=VBZ PPos=EX StartS=f O
Word=little Pos=JJ PPos=VBZ StartS=f I
Word=holding Pos=NN PPos=JJ StartS=f O
Word=sterling Pos=NN PPos=NN StartS=f I
Word=firm Pos=NN PPos=NN StartS=f O
Word=at Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=moment Pos=NN PPos=DT StartS=f I
Word=other Pos=JJ PPos=NN StartS=f O
Word=than Pos=IN PPos=JJ StartS=f O
Word=Mr. Pos=NNP PPos=IN StartS=f I
Word=Lawson Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=promise Pos=NN PPos=POS StartS=f I
Word=that Pos=IN PPos=NN StartS=f O
Word=rates Pos=NNS PPos=IN StartS=f I
Word=will Pos=MD PPos=NNS StartS=f O
Word=be Pos=VB PPos=MD StartS=f O
Word=pushed Pos=VBN PPos=VB StartS=f O
Word=higher Pos=JJR PPos=VBN StartS=f O
Word=if Pos=IN PPos=JJR StartS=f O
Word=necessary Pos=JJ PPos=IN StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=And Pos=CC StartS=t O
Word=, Pos=, PPos=CC StartS=f O
Word=they Pos=PRP PPos=, StartS=f I
Word=warn Pos=VBP PPos=PRP StartS=f O
Word=, Pos=, PPos=VBP StartS=f O
Word=any Pos=DT PPos=, StartS=f I
Word=further Pos=JJ PPos=DT StartS=f I
Word=drop Pos=NN PPos=JJ StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=government Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=popularity Pos=NN PPos=POS StartS=f I
Word=could Pos=MD PPos=NN StartS=f O
Word=swiftly Pos=RB PPos=MD StartS=f O
Word=make Pos=VB PPos=RB StartS=f O
Word=this Pos=DT PPos=VB StartS=f I
Word=promise Pos=NN PPos=DT StartS=f I
Word=sound Pos=NN PPos=NN StartS=f O
Word=hollow Pos=JJ PPos=NN StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=Sterling Pos=NNP StartS=t I
Word=was Pos=VBD PPos=NNP StartS=f O
Word=already Pos=RB PPos=VBD StartS=f O
Word=showing Pos=VBG PPos=RB StartS=f O
Word=some Pos=DT PPos=VBG StartS=f I
Word=signs Pos=NNS PPos=DT StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=lack Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=confidence Pos=NN PPos=IN StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=Mr. Pos=NNP PPos=IN StartS=f I
Word=Lawson Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=promise Pos=NN PPos=POS StartS=f I
Word=Friday Pos=NNP PPos=NN StartS=f B
Word=. Pos=. PPos=NNP StartS=f O

Word=In Pos=IN StartS=t O
Word=European Pos=JJ PPos=IN StartS=f I
Word=trading Pos=NN PPos=JJ StartS=f I
Word=it Pos=PRP PPos=NN StartS=f B
Word=declined Pos=VBD PPos=PRP StartS=f O
Word=to Pos=TO PPos=VBD StartS=f O
Word=$ Pos=$ PPos=TO StartS=f I
Word=1.5890 Pos=CD PPos=$ StartS=f I
Word=and Pos=CC PPos=CD StartS=f O
Word=2.9495 Pos=CD PPos=CC StartS=f I
Word=marks Pos=NNS PPos=CD StartS=f I
Word=from Pos=IN PPos=NNS StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=1.5940 Pos=CD PPos=$ StartS=f I
Word=and Pos=CC PPos=CD StartS=f O
Word=2.9429 Pos=CD PPos=CC StartS=f I
Word=marks Pos=NNS PPos=CD StartS=f I
Word=late Pos=JJ PPos=NNS StartS=f B
Word=Thursday Pos=NNP PPos=JJ StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=Economists Pos=NNS StartS=t I
Word=suggested Pos=VBD PPos=NNS StartS=f O
Word=that Pos=IN PPos=VBD StartS=f O
Word=if Pos=IN PPos=IN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=pound Pos=NN PPos=DT StartS=f I
Word=falls Pos=VBZ PPos=NN StartS=f O
Word=much Pos=JJ PPos=VBZ StartS=f I
Word=below Pos=IN PPos=JJ StartS=f O
Word=2.90 Pos=CD PPos=IN StartS=f I
Word=marks Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=government Pos=NN PPos=DT StartS=f I
Word=will Pos=MD PPos=NN StartS=f O
Word=be Pos=VB PPos=MD StartS=f O
Word=forced Pos=VBN PPos=VB StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=increase Pos=VB PPos=TO StartS=f O
Word=rates Pos=NNS PPos=VB StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=16 Pos=CD PPos=TO StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=both Pos=DT PPos=, StartS=f O
Word=to Pos=TO PPos=DT StartS=f O
Word=halt Pos=VB PPos=TO StartS=f O
Word=any Pos=DT PPos=VB StartS=f I
Word=further Pos=JJ PPos=DT StartS=f I
Word=decline Pos=NN PPos=JJ StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=ensure Pos=VB PPos=CC StartS=f O
Word=that Pos=IN PPos=VB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=balance Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=monetary Pos=JJ PPos=IN StartS=f I
Word=policy Pos=NN PPos=JJ StartS=f I
Word=remains Pos=VBZ PPos=NN StartS=f O
Word=unchanged Pos=JJ PPos=VBZ StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=Friday Pos=NNP StartS=t I
Word='s Pos=POS PPos=NNP StartS=f B
Word=Market Pos=NNP PPos=POS StartS=f I
Word=Activity Pos=NN PPos=NNP StartS=f I

Word=The Pos=DT StartS=t I
Word=dollar Pos=NN PPos=DT StartS=f I
Word=posted Pos=VBD PPos=NN StartS=f O
Word=gains Pos=NNS PPos=VBD StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=quiet Pos=JJ PPos=IN StartS=f I
Word=trading Pos=NN PPos=JJ StartS=f I
Word=as Pos=IN PPos=NN StartS=f O
Word=concerns Pos=NNS PPos=IN StartS=f I
Word=about Pos=IN PPos=NNS StartS=f O
Word=equities Pos=NNS PPos=IN StartS=f I
Word=abated Pos=VBN PPos=NNS StartS=f O
Word=. Pos=. PPos=VBN StartS=f O

Word=Foreign Pos=JJ StartS=t I
Word=exchange Pos=NN PPos=JJ StartS=f I
Word=dealers Pos=NNS PPos=NN StartS=f I
Word=said Pos=VBD PPos=NNS StartS=f O
Word=that Pos=IN PPos=VBD StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=currency Pos=NN PPos=DT StartS=f I
Word=market Pos=NN PPos=NN StartS=f I
Word=has Pos=VBZ PPos=NN StartS=f O
Word=begun Pos=VBN PPos=VBZ StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=distance Pos=VB PPos=TO StartS=f O
Word=itself Pos=PRP PPos=VB StartS=f I
Word=from Pos=IN PPos=PRP StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=volatile Pos=JJ PPos=DT StartS=f I
Word=stock Pos=NN PPos=JJ StartS=f I
Word=exchange Pos=NN PPos=NN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=which Pos=WDT PPos=, StartS=f I
Word=has Pos=VBZ PPos=WDT StartS=f O
Word=preoccupied Pos=VBN PPos=VBZ StartS=f O
Word=the Pos=DT PPos=VBN StartS=f I
Word=market Pos=NN PPos=DT StartS=f I
Word=since Pos=IN PPos=NN StartS=f O
Word=Oct. Pos=NNP PPos=IN StartS=f I
Word=13 Pos=CD PPos=NNP StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=when Pos=WRB PPos=, StartS=f O
Word=the Pos=DT PPos=WRB StartS=f I
Word=Dow Pos=NNP PPos=DT StartS=f I
Word=Jones Pos=NNP PPos=NNP StartS=f I
Word=Industrial Pos=NNP PPos=NNP StartS=f I
Word=Average Pos=NNP PPos=NNP StartS=f I
Word=plunged Pos=VBD PPos=NNP StartS=f O
Word=more Pos=JJR PPos=VBD StartS=f I
Word=than Pos=IN PPos=JJR StartS=f I
Word=190 Pos=CD PPos=IN StartS=f I
Word=points Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Currency Pos=NN StartS=t I
Word=analysts Pos=NNS PPos=NN StartS=f I
Word=predict Pos=VBP PPos=NNS StartS=f O
Word=that Pos=IN PPos=VBP StartS=f O
Word=in Pos=IN PPos=IN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=coming Pos=VBG PPos=DT StartS=f I
Word=week Pos=NN PPos=VBG StartS=f I
Word=the Pos=DT PPos=NN StartS=f B
Word=foreign Pos=JJ PPos=DT StartS=f I
Word=exchange Pos=NN PPos=JJ StartS=f I
Word=market Pos=NN PPos=NN StartS=f I
Word=will Pos=MD PPos=NN StartS=f O
Word=shift Pos=VB PPos=MD StartS=f O
Word=its Pos=PRP$ PPos=VB StartS=f I
Word=focus Pos=NN PPos=PRP$ StartS=f I
Word=back Pos=RB PPos=NN StartS=f O
Word=to Pos=TO PPos=RB StartS=f O
Word=economic Pos=JJ PPos=TO StartS=f I
Word=fundamentals Pos=NNS PPos=JJ StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=keeping Pos=VBG PPos=, StartS=f O
Word=a Pos=DT PPos=VBG StartS=f I
Word=close Pos=NN PPos=DT StartS=f I
Word=eye Pos=NN PPos=NN StartS=f I
Word=out Pos=IN PPos=NN StartS=f O
Word=for Pos=IN PPos=IN StartS=f O
Word=any Pos=DT PPos=IN StartS=f I
Word=signs Pos=NNS PPos=DT StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=monetary Pos=JJ PPos=IN StartS=f I
Word=easing Pos=NN PPos=JJ StartS=f I
Word=by Pos=IN PPos=NN StartS=f O
Word=U.S. Pos=NNP PPos=IN StartS=f I
Word=Federal Pos=NNP PPos=NNP StartS=f I
Word=Reserve Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=Late Pos=RB StartS=t O
Word=in Pos=IN PPos=RB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=New Pos=NNP PPos=DT StartS=f I
Word=York Pos=NNP PPos=NNP StartS=f I
Word=trading Pos=NN PPos=NNP StartS=f I
Word=day Pos=NN PPos=NN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=dollar Pos=NN PPos=DT StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=quoted Pos=VBN PPos=VBD StartS=f O
Word=at Pos=IN PPos=VBN StartS=f O
Word=1.8578 Pos=CD PPos=IN StartS=f I
Word=marks Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=up Pos=IN PPos=, StartS=f O
Word=from Pos=IN PPos=IN StartS=f O
Word=1.8470 Pos=CD PPos=IN StartS=f I
Word=marks Pos=NNS PPos=CD StartS=f I
Word=late Pos=JJ PPos=NNS StartS=f B
Word=Thursday Pos=NNP PPos=JJ StartS=f I
Word=in Pos=IN PPos=NNP StartS=f O
Word=New Pos=NNP PPos=IN StartS=f I
Word=York Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=The Pos=DT StartS=t I
Word=U.S. Pos=NNP PPos=DT StartS=f I
Word=currency Pos=NN PPos=NNP StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=also Pos=RB PPos=VBD StartS=f O
Word=changing Pos=VBG PPos=RB StartS=f O
Word=hands Pos=NNS PPos=VBG StartS=f I
Word=at Pos=IN PPos=NNS StartS=f O
Word=142.43 Pos=CD PPos=IN StartS=f I
Word=yen Pos=NN PPos=CD StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=up Pos=IN PPos=, StartS=f O
Word=from Pos=IN PPos=IN StartS=f O
Word=141.70 Pos=CD PPos=IN StartS=f I
Word=yen Pos=NN PPos=CD StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=New Pos=NNP PPos=IN StartS=f I
Word=York Pos=NNP PPos=NNP StartS=f I
Word=late Pos=JJ PPos=NNP StartS=f B
Word=Thursday Pos=NNP PPos=JJ StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=In Pos=IN StartS=t O
Word=Tokyo Pos=NNP PPos=IN StartS=f I
Word=on Pos=IN PPos=NNP StartS=f O
Word=Monday Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=U.S. Pos=NNP PPos=DT StartS=f I
Word=currency Pos=NN PPos=NNP StartS=f I
Word=opened Pos=VBD PPos=NN StartS=f O
Word=for Pos=IN PPos=VBD StartS=f O
Word=trading Pos=NN PPos=IN StartS=f I
Word=at Pos=IN PPos=NN StartS=f O
Word=141.95 Pos=CD PPos=IN StartS=f I
Word=yen Pos=NN PPos=CD StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=up Pos=IN PPos=, StartS=f O
Word=from Pos=IN PPos=IN StartS=f O
Word=Friday Pos=NNP PPos=IN StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=Tokyo Pos=NNP PPos=POS StartS=f I
Word=close Pos=NN PPos=NNP StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=141.35 Pos=CD PPos=IN StartS=f I
Word=yen Pos=NN PPos=CD StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=On Pos=IN StartS=t O
Word=the Pos=DT PPos=IN StartS=f I
Word=Commodity Pos=NNP PPos=DT StartS=f I
Word=Exchange Pos=NNP PPos=NNP StartS=f I
Word=in Pos=IN PPos=NNP StartS=f O
Word=New Pos=NNP PPos=IN StartS=f I
Word=York Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=gold Pos=NN PPos=, StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=current Pos=JJ PPos=IN StartS=f I
Word=delivery Pos=NN PPos=JJ StartS=f I
Word=settled Pos=VBD PPos=NN StartS=f O
Word=at Pos=IN PPos=VBD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=367.30 Pos=CD PPos=$ StartS=f I
Word=an Pos=DT PPos=CD StartS=f B
Word=ounce Pos=NN PPos=DT StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=up Pos=IN PPos=, StartS=f O
Word=20 Pos=CD PPos=IN StartS=f I
Word=cents Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Estimated Pos=VBN StartS=t I
Word=volume Pos=NN PPos=VBN StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=a Pos=DT PPos=VBD StartS=f I
Word=light Pos=NN PPos=DT StartS=f I
Word=2.4 Pos=CD PPos=NN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=ounces Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=In Pos=IN StartS=t O
Word=early Pos=JJ PPos=IN StartS=f I
Word=trading Pos=NN PPos=JJ StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=Hong Pos=NNP PPos=IN StartS=f I
Word=Kong Pos=NNP PPos=NNP StartS=f I
Word=Monday Pos=NNP PPos=NNP StartS=f B
Word=, Pos=, PPos=NNP StartS=f O
Word=gold Pos=NN PPos=, StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=quoted Pos=VBN PPos=VBD StartS=f O
Word=at Pos=IN PPos=VBN StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=366.50 Pos=CD PPos=$ StartS=f I
Word=an Pos=DT PPos=CD StartS=f B
Word=ounce Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=East Pos=NNP StartS=t I
Word=Rock Pos=NNP PPos=NNP StartS=f I
Word=Partners Pos=NNP PPos=NNP StartS=f I
Word=Limited Pos=NNP PPos=NNP StartS=f I
Word=Partnership Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=it Pos=PRP PPos=VBD StartS=f I
Word=proposed Pos=VBD PPos=PRP StartS=f O
Word=to Pos=TO PPos=VBD StartS=f O
Word=acquire Pos=VB PPos=TO StartS=f O
Word=A.P. Pos=NNP PPos=VB StartS=f I
Word=Green Pos=NNP PPos=NNP StartS=f I
Word=Industries Pos=NNP PPos=NNP StartS=f I
Word=Inc. Pos=NNP PPos=NNP StartS=f I
Word=for Pos=IN PPos=NNP StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=40 Pos=CD PPos=$ StartS=f I
Word=a Pos=DT PPos=CD StartS=f B
Word=share Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=In Pos=IN StartS=t O
Word=an Pos=DT PPos=IN StartS=f I
Word=Oct. Pos=NNP PPos=DT StartS=f I
Word=19 Pos=CD PPos=NNP StartS=f I
Word=letter Pos=NN PPos=CD StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=A.P. Pos=NNP PPos=TO StartS=f I
Word=Green Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=board Pos=NN PPos=POS StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=East Pos=NNP PPos=, StartS=f I
Word=Rock Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=offer Pos=NN PPos=DT StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=subject Pos=NN PPos=VBZ StartS=f O
Word=to Pos=TO PPos=NN StartS=f O
Word=the Pos=DT PPos=TO StartS=f I
Word=signing Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=merger Pos=NN PPos=DT StartS=f I
Word=agreement Pos=NN PPos=NN StartS=f I
Word=by Pos=IN PPos=NN StartS=f O
Word=no Pos=DT PPos=IN StartS=f O
Word=later Pos=RB PPos=DT StartS=f O
Word=than Pos=IN PPos=RB StartS=f O
Word=Oct. Pos=NNP PPos=IN StartS=f I
Word=31 Pos=CD PPos=NNP StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=The Pos=DT StartS=t I
Word=letter Pos=NN PPos=DT StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=attached Pos=VBN PPos=, StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=a Pos=DT PPos=TO StartS=f I
Word=filing Pos=NN PPos=DT StartS=f I
Word=with Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=Securities Pos=NNP PPos=DT StartS=f I
Word=and Pos=CC PPos=NNP StartS=f I
Word=Exchange Pos=NNP PPos=CC StartS=f I
Word=Commission Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=said Pos=VBD PPos=, StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=approval Pos=NN PPos=DT StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=also Pos=RB PPos=VBZ StartS=f O
Word=contingent Pos=JJ PPos=RB StartS=f O
Word=upon Pos=IN PPos=JJ StartS=f O
Word=obtaining Pos=VBG PPos=IN StartS=f O
Word=satisfactory Pos=JJ PPos=VBG StartS=f I
Word=financing Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=An Pos=DT StartS=t I
Word=A.P. Pos=NNP PPos=DT StartS=f I
Word=Green Pos=NNP PPos=NNP StartS=f I
Word=official Pos=NN PPos=NNP StartS=f I
Word=declined Pos=VBD PPos=NN StartS=f O
Word=to Pos=TO PPos=VBD StartS=f O
Word=comment Pos=VB PPos=TO StartS=f O
Word=on Pos=IN PPos=VB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=filing Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=The Pos=DT StartS=t I
Word=$ Pos=$ PPos=DT StartS=f I
Word=40-a-share Pos=JJ PPos=$ StartS=f I
Word=proposal Pos=NN PPos=JJ StartS=f I
Word=values Pos=VBZ PPos=NN StartS=f O
Word=the Pos=DT PPos=VBZ StartS=f I
Word=company Pos=NN PPos=DT StartS=f I
Word=at Pos=IN PPos=NN StartS=f O
Word=about Pos=RB PPos=IN StartS=f I
Word=$ Pos=$ PPos=RB StartS=f I
Word=106.6 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=A.P. Pos=NNP StartS=t I
Word=Green Pos=NNP PPos=NNP StartS=f I
Word=currently Pos=RB PPos=NNP StartS=f O
Word=has Pos=VBZ PPos=RB StartS=f O
Word=2,664,098 Pos=CD PPos=VBZ StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=outstanding Pos=JJ PPos=NNS StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=Its Pos=PRP$ StartS=t I
Word=stock Pos=NN PPos=PRP$ StartS=f I
Word=closed Pos=VBD PPos=NN StartS=f O
Word=at Pos=IN PPos=VBD StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=38 Pos=CD PPos=$ StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=up Pos=IN PPos=, StartS=f O
Word=$ Pos=$ PPos=IN StartS=f I
Word=1.875 Pos=CD PPos=$ StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=in Pos=IN PPos=, StartS=f O
Word=national Pos=JJ PPos=IN StartS=f I
Word=over-the-counter Pos=JJ PPos=JJ StartS=f I
Word=trading Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=The Pos=DT StartS=t I
Word=company Pos=NN PPos=DT StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=a Pos=DT PPos=VBZ StartS=f I
Word=Mexico Pos=NNP PPos=DT StartS=f I
Word=, Pos=, PPos=NNP StartS=f I
Word=Mo. Pos=NNP PPos=, StartS=f I
Word=, Pos=, PPos=NNP StartS=f I
Word=maker Pos=NN PPos=, StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=refractory Pos=JJ PPos=IN StartS=f I
